4	6.963650
4	4.993241
4	4.812471
4	4.885746
4	4.793467
4	4.865671
4	5.119231
4	5.110447
4	4.949951
4	4.917201
5	5.738916
5	5.671657
5	5.667168
5	5.744452
5	5.721606
5	5.445644
5	5.607245
5	5.665010
5	5.546072
5	5.557218
6	6.496623
6	6.333960
6	6.351562
6	6.256029
6	6.192887
6	6.404286
6	6.342733
6	6.595632
6	6.564122
6	6.462771
4	4.435293
4	4.401744
4	4.504573
4	4.440564
4	4.326360
4	4.543976
4	4.499697
4	4.498738
4	4.486936
4	4.623148
5	5.068055
5	4.988157
5	5.150022
5	5.005891
5	5.046140
5	5.309128
5	4.969247
5	5.107570
5	5.253531
5	4.988256
6	5.873956
6	5.766272
6	5.566506
6	5.680029
6	5.575366
6	5.617654
6	5.535158
6	5.744394
6	5.572032
6	5.757186
4	4.360729
4	4.292524
4	4.345141
4	4.531125
4	4.310168
4	4.502296
4	4.509524
4	4.380126
4	4.420929
4	4.501973
5	4.940637
5	4.978366
5	5.056545
5	5.033921
5	5.124084
5	4.865909
5	4.968975
5	4.972015
5	5.203768
5	5.070441
6	5.623626
6	5.667076
6	5.564832
6	5.720602
6	5.654754
6	5.836504
6	5.643771
6	5.486368
6	5.646329
6	5.716298
